"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001014551.3",210.15852825435,-0.616802036826608,0.15946652841331,-3.86790910270501,0.000109772566092714,0.130307787215265
"NM_001032033.2",19.3563198513595,-7.72087593038428,2.01323854080215,-3.83505271427398,0.000125537367259408,0.130307787215265
"NM_001104034.1",108.955906668467,-1.12495437237875,0.328204631698322,-3.42760053859562,0.000608940773193524,0.24663171678322
"NM_001201858.1",35.1400242993954,-4.18852649610634,1.19838162457483,-3.49515247081026,0.000473791015516252,0.218575588491497
"NM_001202026.2",382.927858441547,0.420434154269694,0.114628068736932,3.66781154827426,0.000244635379099491,0.150060440342406
"NM_001275361.1",188.90096948854,0.606962910685832,0.178077615462861,3.40841777956318,0.000653407727508532,0.24663171678322
"NM_001276024.1",297.433810853884,0.788915931915416,0.215597224321967,3.65921191423723,0.000252992071868218,0.150060440342406
"NM_079397.3",198.378258526516,-0.601792696506518,0.167212014198857,-3.5989800098385,0.000319467742600523,0.165803758409672
"NM_165920.3",97.9535163728941,1.39851537420968,0.328808582743612,4.25328123292991,2.10660735576501e-05,0.0874663374113633
"NM_167512.2",200.874422735034,-0.586230113790344,0.149292882581583,-3.92671173369562,8.61150864028555e-05,0.130307787215265
"NR_125185.2",152.870817183415,-0.815771243948715,0.221083116547,-3.68988485728755,0.000224355576318105,0.150060440342406
